what are bigos?	["Stew"]	["Polish food"]
what language do most italians speak?	["Italian Language"]	["Italian Language", "Latin Language", "Friulian Language", "Sicilian Language", "Sardinian language", "Corsican Language", "Napoletano-Calabrese Language"]
where was toussaint l'ouverture born?	["Haiti"]	["Haiti"]
what is the largest nation in europe?	["Russia"]	["Belgium", "Bulgaria", "Croatia", "Finland", "Germany", "Hungary", "Italy", "Luxembourg", "Netherlands", "Norway", "Poland", "Russia", "Romania", "Spain", "Switzerland", "Slovakia", "Serbia", "United Kingdom", "Sweden", "Austria", "Denmark", "Bosnia and Herzegovina", "Estonia", "Lithuania", "Slovenia", "Georgia", "Belarus", "Czech Republic", "Greece", "Ireland", "Latvia", "Malta", "Moldova", "Montenegro", "Portugal", "Ukraine", "Armenia", "Albania", "Iceland", "Republic of Macedonia", "Vatican City", "Liechtenstein", "Kosovo", "San Marino", "Monaco", "Andorra"]
who were we fighting in the gulf war?	["Iraq"]	["Colin Powell", "Hosni Mubarak", "Mirza Aslam Beg", "Saddam Hussein", "Sultan bin Abdulaziz", "Khalid bin Sultan", "Peshmerga", "George H. W. Bush", "Chuck Horner", "Norman Schwarzkopf, Jr.", "Jaber Al-Ahmad Al-Jaber Al-Sabah", "Dick Cheney", "Hafez al-Assad", "Abdullah of Saudi Arabia", "Peter de la Billi\u00e8re", "John A. Warden III", "Mustafa Tlass", "Coalition of the Gulf War", "John Major", "Fahd of Saudi Arabia", "Turki bin Faisal Al Saud", "Salah Aboud Mahmoud", "Saleh Al-Muhaya", "Mohamed Hussein Tantawi", "Calvin Waller", "Frederick M. Franks, Jr.", "John Chapple", "Patrick Hine", "Ali Hassan al-Majid", "Andrew Wilson", "Michel Roquejeoffre"]
what is ella fitzgerald parents name?	["William Fitzgerald", "Temperance Tempie Fitzgerald"]	["Ray Brown, Jr."]
who is the head coach of inter milan?	["Andrea Stramaccioni"]	["Andrea Stramaccioni", "Walter Mazzarri", "Giuseppe Baresi"]
who played carlton lassiter on psych?	["Timothy Omundson"]	["Timothy Omundson"]
where is the mts iceplex in winnipeg?	["Canada"]	["Winnipeg", "Rural Municipality of Headingley"]
where did jovan belcher kill himself?	["Kansas City"]	["Kansas City"]
who did nasri play for before arsenal?	["Olympique de Marseille"]	["2008"]
what to do today in atlanta with kids?	["Atlanta History Center", "Atlanta Cyclorama & Civil War Museum", "Atlanta Ballet", "Fernbank Museum of Natural History", "Woodruff Arts Center", "Zoo Atlanta", "Atlanta Symphony Orchestra", "Centennial Olympic Park", "Martin Luther King, Jr., National Historic Site", "Fernbank Science Center"]	["Zoo Atlanta", "Margaret Mitchell House & Museum", "Georgia Dome", "Atlanta History Center", "Atlanta Symphony Orchestra", "CNN Center", "Fernbank Science Center", "Turner Field", "Georgia Aquarium", "Six Flags Over Georgia", "Fox Theatre", "Jimmy Carter Library and Museum", "Atlanta Cyclorama & Civil War Museum", "Centennial Olympic Park", "World of Coca-Cola", "Woodruff Arts Center", "Six Flags White Water", "Martin Luther King, Jr., National Historic Site", "Fernbank Museum of Natural History", "Atlanta Ballet"]
what is the primary language of china?	["Standard Mandarin"]	["Standard Mandarin"]
who does ronaldinho play for now 2011?	["Clube de Regatas do Flamengo"]	["Clube Atl\u00e9tico Mineiro", "A.C. Milan", "Clube de Regatas do Flamengo", "FC Barcelona", "Gr\u00eamio Foot-Ball Porto Alegrense", "Brazil national football team", "Paris Saint-Germain F.C."]
what county is brentwood tennessee in?	["Williamson County"]	["Williamson County"]
what famous people came from delaware?	["Ruth Ann Minner", "Beau Biden", "Jack Markell", "Matthew P. Denn", "Michael Castle", "Daniel Rodney", "Jeffrey W. Bullock"]	["Herbert Bennett Fenn", "Ed Haskett", "James B. Clark, Jr.", "Rex Carlton", "Eddie Paskey", "Roy Del Ruth", "Jacqueline Jones", "John Sedwick", "Richard H. Ellis", "Billy Ficca", "Patrick Kearney", "Gimel \"Young Guru\" Keaton", "Outerbridge Horsey IV", "Steve Ressel", "Huck Betts", "Fred Lonberg-Holm", "Alfred I. du Pont", "Tom Peszek", "Joe Garcio", "Hampton Del Ruth", "Francine Fournier", "Reuben James", "Jim Wilson", "James Tilton", "Edward Groesbeck Voss", "David McElwee", "Chris Gutierrez", "Matt Stawicki", "Rebecca Lee Crumpler", "Griffin Seward", "Solomon Bayley", "Jeremy Conway", "Collins J. Seitz", "A.C. Golden"]
what was john quincy adams famous for?	["Secretary of State", "President", "Ambassador", "Member of Congress", "Senator"]	["Lawyer", "Politician", "Diplomat", "Attorneys in the United States"]
which country did nike originate from?	["United States of America"]	["Phil Knight", "Bill Bowerman"]
what industry does walmart operate in?	["Department Stores", "Retail", "Variety Stores"]	["Variety Stores", "Retail", "Department Stores"]
what is the zip code for princeton nj?	["08544"]	["08540", "08543", "08544", "08542", "08541"]
what form of currency does china have?	["Renminbi"]	["Renminbi"]
what type government does mexico have?	["Federal government of Mexico"]	["Presidential system", "Federal republic", "Constitutional republic"]
what religion did adolf hitler follow?	["Catholicism", "Christianity"]	["Catholicism", "Christianity"]
which state did anne hutchinson found?	["Rhode Island"]	["Marriage"]
what language do they use in pakistan?	["Seraiki Language", "Hindustani language", "Pashto language", "Punjabi language", "Brahui Language", "Balochi language", "English Language", "Urdu Language", "Sindhi Language", "Hindko dialect"]	["English Language", "Urdu Language"]
where did george michael go to school?	["Bushey Meads School"]	["Bushey Meads School"]
what is the national flower of hawaii?	["Hawaiian hibiscus"]	["Nene", "Candlenut", "Ua Mau ke Ea o ka Aina i ka Pono", "Gold dust day gecko", "Reef triggerfish", "Hawaiian hibiscus"]
what inspired michelangelo buonarroti?	["Lorenzo de' Medici", "Domenico Ghirlandaio", "Giovanni Pico della Mirandola", "Girolamo Savonarola", "Melozzo da Forl\u00ec"]	["Domenico Ghirlandaio", "Giovanni Pico della Mirandola", "Girolamo Savonarola", "Lorenzo de' Medici", "Melozzo da Forl\u00ec"]
who did the cleveland cavaliers draft?	["J. J. Hickson", "LeBron James", "Shannon Brown", "Luke Jackson", "Dion Waiters"]	["Shannon Brown", "LeBron James", "Luke Jackson", "Anthony Bennett", "J. J. Hickson", "Dion Waiters"]
who are the senators of virginia 2013?	["Mark Warner"]	["James Monroe", "William Cabell Rives", "William L. Scott", "Robert E. Withers", "Harrison H. Riddleberger", "Mark Warner", "John Tyler", "Carter Glass", "Armistead Thomson Mason", "Jim Webb", "Eppa Hunton", "Claude A. Swanson", "John Randolph of Roanoke", "William Branch Giles", "Wilson Cary Nicholas", "Stevens Thomson Mason", "Richard Brent", "John Taylor of Caroline", "Richard Henry Lee", "Henry Tazewell", "John S. Barbour, Jr.", "Robert M. T. Hunter", "James Murray Mason", "Isaac S. Pennybacker", "Lemuel J. Bowden", "William S. Archer", "Tim Kaine", "John Warner", "Richard E. Parker", "William B. Spong, Jr.", "William Mahone", "George Allen", "Benjamin W. Leigh", "James Pleasants", "Paul S. Trible, Jr.", "Harry F. Byrd", "Littleton Waller Tazewell", "John Wayles Eppes", "Abraham B. Venable", "Andrew Moore", "John W. Daniel", "Chuck Robb", "Thomas G. Burch", "Waitman T. Willey", "Absalom Willis Robertson", "William Grayson", "James Barbour", "Harry F. Byrd, Jr.", "John W. Johnston", "Thomas S. Martin", "John F. Lewis", "William H. Roane", "John Walker"]
when was herbert hoover born and died?	["8/10/1874"]	["West Branch"]
when did celtics win the championship?	["1969 NBA Finals", "1986 NBA Finals", "2008 NBA Finals", "1974 NBA Finals", "1984 NBA Finals", "1965 NBA Finals", "1966 NBA Finals", "1976 NBA Finals", "1981 NBA Finals", "1968 NBA Finals"]	["1968 NBA Finals", "1964 NBA Finals", "1981 NBA Finals", "1966 NBA Finals", "1984 NBA Finals", "1976 NBA Finals", "2008 NBA Finals", "1969 NBA Finals", "1986 NBA Finals", "1974 NBA Finals", "1965 NBA Finals", "1963 NBA Finals", "1962 NBA Finals", "1961 NBA Finals", "1960 NBA Finals", "1959 NBA Finals", "1957 NBA Finals"]
who played bilbo in lord of the rings?	["Norman Bird", "Martin Freeman", "Ian Holm"]	["Martin Freeman", "Ian Holm", "Norman Bird"]
what age did william penn get married?	["william penn not favored by william of orange"]	["Gulielma Maria Springett", "Hannah Callowhill Penn"]
what state is washington d.c. located?	["Washington", "Washington, D.C."]	["United States of America"]
what countries are part of the baltic?	["Latvia", "Lithuania", "Estonia"]	["Estonia", "Lithuania", "Latvia"]
what school did michael jordan attend?	["University of North Carolina at Chapel Hill", "Emsley A. Laney High School"]	["University of North Carolina at Chapel Hill"]
what currency shall i take to croatia?	["Croatian dinar"]	["Croatian kuna"]
what movies does logan lerman play in?	["The Only Living Boy in New York", "Stuck in Love", "The Perks of Being a Wallflower", "The Three Musketeers", "The Butterfly Effect", "The Number 23", "The Patriot", "The Scribe", "Riding in Cars with Boys", "What Women Want"]	["The Flannerys", "The Only Living Boy in New York", "The Scribe", "Riding in Cars with Boys", "Percy Jackson & the Olympians: The Lightning Thief", "My One and Only", "What Women Want", "Hoot", "Noah", "Gamer", "The Butterfly Effect", "The Number 23", "The Three Musketeers", "Percy Jackson: Sea of Monsters", "Stuck in Love", "The Perks of Being a Wallflower", "3:10 to Yuma", "Meet Bill", "The Patriot", "A Painted House", "Fury"]
what language did they speak in ghana?	["Akan Language"]	["English Language", "Akan Language", "Gonja Language", "Nzema Language", "\u00c9w\u00e9 Language", "Asante dialect", "Ga Language", "Kasem Language", "Fula language", "Dagbani Language", "Dagaare language", "Dangme Language"]
where does toronto get its water from?	["Ashbridges Bay Wastewater Treatment Plant"]	["Union Station", "Billy Bishop Toronto City Airport", "Toronto Pearson International Airport", "Toronto Coach Terminal"]
where to visit in paris with children?	["Mus\u00e9e Maillol", "Palace of Versailles", "Eiffel Tower", "\u00cele de la Cit\u00e9", "Caf\u00e9 Volpini", "Notre Dame de Paris", "Folies Berg\u00e8re", "Arc de Triomphe", "Basilica of the Sacr\u00e9 C\u0153ur", "Panth\u00e9on, Paris"]	["Sicko", "The Dinner Game", "All is Forgiven", "Ch\u00e9ri", "An American in Paris", "Intimate Strangers", "Munich", "Ronin", "Avenue Montaigne", "Midnight in Paris", "The Lovers on the Bridge", "Bande \u00e0 part", "Inglourious Basterds", "Transformers: Revenge of the Fallen", "Am\u00e9lie", "Paris When It Sizzles", "The Tourist", "Now You See Me", "Unfinished Spaces", "As A Man", "Je me suis fait tout petit", "French Connections, Part Two: Conquest", "Charade", "Yamakasi", "The Fat and the Lean", "Festival in France", "Since Otar Left", "Read my Lips", "Paris, je t'aime", "The Counsel", "The Sucker", "Inside Paris", "Calm At Sea", "Passport to Paris", "Breathless", "Le Plumard en Folie", "Americans in Paris", "8th Wonderland", "C'\u00e9tait un rendez-vous"]
what continent does armenia belong to?	["Eurasia"]	["Europe"]
what currency should i take to mexico?	["Mexican peso"]	["Mexican peso"]
where did harry s truman go to school?	["University of Missouri\u2013Kansas City School of Law", "University of Missouri\u2013Kansas City", "William Chrisman High School"]	["William Chrisman High School", "University of Missouri\u2013Kansas City", "University of Missouri\u2013Kansas City School of Law"]
where did robert downey jr go to jail?	["California Substance Abuse Treatment Facility and State Prison, Corcoran"]	["California Substance Abuse Treatment Facility and State Prison, Corcoran"]
what countries speak english natively?	["Canada", "Australia", "Kingdom of Great Britain", "United States of America", "United Kingdom", "Ireland", "New Zealand"]	["United Kingdom", "United States of America", "Australia", "Canada", "Kingdom of Great Britain", "Ireland", "New Zealand"]
what currency can you use in barbados?	["Barbadian dollar"]	["Barbadian dollar"]
what is the currency in turkey called?	["Turkish lira"]	["Turkish lira"]
who played mickey in the rocky movies?	["Wayne Allwine"]	["Walt Disney", "Jimmy MacDonald", "Wayne Allwine"]
who plays bilbo baggins in the hobbit?	["Norman Bird", "Martin Freeman", "Ian Holm"]	["Martin Freeman", "Ian Holm", "Norman Bird"]
who is the miami dolphins quarterback?	["Pat Devlin"]	["Matt Moore", "Ryan Tannehill", "Pat Devlin"]
what type of art does marc chagall do?	["Surrealism", "Expressionism"]	["Painting"]
who makes the voice of stewie griffin?	["Seth MacFarlane"]	["Seth MacFarlane"]
who is the current ohio state senator?	["Rob Portman"]	["King of Saudi Arabia"]
what type of art does claude monet do?	["Impressionism"]	["Painting"]
what is the national language of iran?	["Persian Language"]	["Persian Language"]
what things did martin luther king do?	["Civil rights movement", "Civil disobedience", "Nonviolence"]	["Why I Oppose the War in Vietnam"]
what countries are located near egypt?	["Sudan", "Israel", "Red Sea", "Libya"]	["DVD Region 2", "Middle East", "Arab world"]
what football team is michael vick on?	["Philadelphia Eagles"]	["Virginia Tech Hokies football", "Atlanta Falcons"]
who fought in the battle of vicksburg?	["Confederate States of America", "Union", "John C. Pemberton", "United States of America", "Ulysses S. Grant"]	["United States of America", "Confederate States of America", "Union", "Ulysses S. Grant", "John C. Pemberton"]
what happened after mr. sugihara died?	["Yaotsu"]	[]
what kind of hispanic is selena gomez?	["Mexicans"]	["Drum", "Guitar"]
what books did ernest hemingway write?	["The Sun Also Rises", "The Complete Short Stories of Ernest Hemingway: The Finca Vig\u00eda Edition", "A Farewell to Arms", "The Old Man and the Sea", "A Moveable Feast", "The Snows of Kilimanjaro", "The Fifth Column and the First Forty-Nine Stories", "For Whom the Bell Tolls", "Across the River and into the Trees", "Ernest Hemingway: The Collected Stories"]	["Across the river and into the trees", "The TORRENTS OF SPRING", "A Moveable Feast", "A moveable feast", "A Moveable Feast", "A Moveable Feast", "A Moveable Feast", "A Moveable Feast (Scribner Classic)", "A Moveable Feast (Moveable Feast Srs)", "A Moveable Feast", "A Moveable Feast", "A Moveable Feast", "For whom the bell tolls", "Ernest Hemingway, selected letters, 1917-1961", "Death in the afternoon", "Death in the Afternoon", "Death in the Afternoon", "Death in the afternoon.", "Death in the Afternoon", "Death in the Afternoon", "Death in the afternoon", "Death in the afternoon", "Death in the afternoon", "Death in the afternoon", "Death in the Afternoon (Death in the Afternoon Hre)", "The Old Man and the Sea (York Notes)", "To have and have not", "Hemingway on hunting", "Conversations with Ernest Hemingway", "Hemingway on war", "A Farewell to Arms", "Under Kilimanjaro", "The Garden of Eden", "The Garden of Eden", "The garden of Eden", "The garden of Eden.", "The garden of Eden", "The Garden of Eden", "The Garden of Eden", "The Old Man and the Sea", "Winner Take Nothing (Scribner Classic)", "A Farewell to Arms (Farewell to Arms Tr)", "In our time", "The Sun Also Rises", "In Our Time", "In our time", "In Our Time", "In Our Time", "In Our Time", "In Our Time (In Our Time Hre)", "For Whom the Bell Tolls", "The Sun Also Rises", "The old man and the sea", "The Snows of Kilimanjaro", "The dangerous summer", "Across the River and Into the Trees", "The torrents of spring", "By-line, Ernest Hemingway", "A Farewell to Arms", "The Old Man and the Sea. (Lernmaterialien)", "To have and have not", "To Have and Have Not", "To have and have not", "To have and have not", "To have and have not", "To Have and Have Not", "To have and have not", "To have and have not", "To Have and Have Not (To Have & Have Not Srs)", "To have and have not", "To Have and Have Not (To Have & Have Not Hre)", "To have and have not.", "A Farewell to Arms (Scribner Classics)", "To Have and Have Not", "The Old Man and the Sea (Vintage Classics)", "Across the river and into the trees", "Green hills of Africa", "The Complete Short Stories of Ernest Hemingway: The Finca Vig\u00eda Edition", "Farewell to Arms (A Scribner Classic)", "For Whom the Bell Tolls", "Men without women", "Men without women", "Men without women", "Men without women", "Men Without Women", "Men without women", "Men without women", "Men Without Women (Arrow Classic)", "The Complete Short Stories of Ernest Hemingway: The Finca Vig\u00eda Edition", "Ernest Hemingway, selected letters, 1917-1961", "Complete poems", "The torrents of spring", "A Farewell To Arms", "Across the River and Into the Trees", "The sun also rises", "The sun also rises", "The sun also rises", "Sun Also Rises (Sun Also Rises Tr)", "The Sun Also Rises", "Sun Also Rises", "The Sun Also Rises", "The Sun Also Rises", "The Sun Also Rises (A Scribner classic)", "The sun also rises", "Sun Also Rises (Library Reprint Editions)", "The Sun Also Rises (Archive of Literary Documents)", "The sun also rises.", "The sun also rises", "Across the river and into the trees.", "Ernest Hemingway, selected letters, 1917-1961", "The fifth column and four stories of the Spanish Civil War", "The old man and the sea. (Lernmaterialien)", "Old Man and the Sea (New Windmill)", "The Old Man and the Sea", "For Whom the Bell Tolls", "For Whom the Bell Tolls", "The Old Man and the Sea", "The old man and the sea", "The Dangerous Summer", "ACROSS THE RIVER AND INTO THE TREES", "Die Wahrheit im Morgenlicht. Eine afrikanische Safari.", "True at first light", "True At First Light", "True at first light", "The torrents of spring", "Across the river and into the trees", "Green hills of Africa.", "The Old Man and the Sea (A Scribner Classic)", "The snows of Kilimanjaro and other stories", "The Snows of Kilimanjaro", "The snows of Kilimanjaro", "The Snows of Kilimanjaro", "The Old Man And The Sea", "The Torrents of Spring", "Green Hills of Africa", "For Whom the Bell Tolls (Audio Library Classics)", "Green Hills of Africa (Vintage Classics)", "For Whom the Bell Tolls", "For whom the bell tolls", "Old Man and the Sea (Special Student)", "Die Wahrheit im Morgenlicht. Eine afrikanische Safari.", "Green hills of Africa", "The Old Man and the Sea", "Winner Take Nothing", "The old man and the sea", "Ernest Hemingway: The Collected Stories", "Old Man and the Sea/ (Cassette)", "The Dangerous Summer", "The Complete Short Stories of Ernest Hemingway: The Finca Vig\u00eda Edition", "The torrents of spring", "The Complete Short Stories of Ernest Hemingway: The Finca Vig\u00eda Edition", "Across The River And Into The Trees", "The dangerous summer", "The dangerous summer", "The old man and the sea.", "Winner take nothing", "Fifth Column and Four Stories of the Spanish Civil War (Fifth Column & 4 Stories Hre)", "For whom the bell tolls", "Winner take nothing.", "Dear Papa, dear Hotch", "The torrents of spring", "For whom the bell tolls", "Green hills of Africa", "The old man and the sea =", "The Old Man and the Sea (Old Man & the Sea Illus Gift Ed C)", "The old man and the sea", "Green Hills of Africa (Scribner Classic)", "The Old Man and the Sea", "For whom the bell tolls", "A Farewell to Arms", "Green Hills of Africa", "For whom the bell tolls", "For whom the bell tolls", "The Dangerous Summer", "Across the River and into the Trees", "Winner Take Nothing", "For Whom the Bell Tolls", "The Old Man and the Sea (Old Man & the Sea Tr)", "The Old Man and the Sea", "For Whom the Bell Tolls", "For Whom the Bell Tolls (Vintage Classics)", "For Whom the Bell Tolls (Vintage Classics)", "Across the River and into the Trees (Arrow Classic)", "The Old Man and The Sea (Annual Review of the Institute for Information Studies)", "For Whom the Bell Tolls (War Promo)", "A Farewell to Arms (Vintage Classics)", "For Whom the Bell Tolls (Audio Library Classics)", "A Farewell to Arms", "Green Hills of Africa", "The dangerous summer", "A farewell to arms", "Green Hills of Africa (Hudson River editions)", "For Whom the Bell Tolls (War Promo)", "For Whom the Bell Tolls", "For Whom the Bell Tolls", "By-Line Ernest Hemingway", "For whom the bell tolls", "Green Hills of Africa", "For Whom the Bell Tolls", "Old Man and the Sea", "Old Man and the Sea", "For whom the bell tolls", "For whom the bell tolls", "Green Hills of Africa (Scribner Classic)", "The Complete Short Stories of Ernest Hemingway: The Finca Vig\u00eda Edition", "For whom the bell tolls", "For whom the bell tolls", "The old man and the sea", "For Whom the Bell Tolls", "Hemingway on Hunting (On)", "The fifth column, and four stories of the Spanish Civil War.", "Across the River and Into the Trees", "Green Hills of Africa", "A farewell to arms", "Green hills of Africa.", "For whom the bell tolls", "Winner take nothing", "The old man and the sea", "The old man and the sea", "Old Man and the Sea", "The Old Man And The Sea", "The Old Man and the Sea", "The old man and the sea", "The Old Man and the Sea (MacMillan Literature Series, Signature Edition)"]
who played berger in sex and the city?	["for amos"]	["Evan Handler", "Sean Palmer", "James Remar", "John Corbett", "Kyle MacLachlan", "Chris Noth", "David Eigenberg", "Frances Sternhagen", "Sarah Jessica Parker", "Jason Lewis", "Willie Garson", "Cynthia Nixon", "Lynn Cohen", "Kim Cattrall", "Ron Livingston", "Bridget Moynahan", "Mario Cantone", "Mikhail Baryshnikov", "Kristin Davis", "Ben Weber"]
what is colorado technical university?	["Career Education Corporation"]	["United States of America"]
what is the zip code for walnut creek?	["94597"]	["94597", "94596", "94598", "94595"]
where were the seneca indians located?	["New York"]	["New York", "Ontario"]
where does michelle pfeiffer live now?	["Orange County"]	["Orange County"]
what cancer did jackie kennedy die of?	["Lymphoma"]	["Cancer", "Lymphoma"]
what are serena williams achievements?	["2010 Australian Open", "2012 Wimbledon Championships", "2012 US Open", "2010 Mutua Madrile\u00f1a Madrid Open", "2011 Rogers Cup", "2010 Wimbledon Championships", "2009 Australian Open", "2010 French Open"]	["Fashion Designer", "Tennis player", "Athlete"]
who has coached the carolina panthers?	["George Seifert", "Dom Capers", "John Fox"]	["Ron Rivera"]
who were the children of king solomon?	["Absalom", "Nathan", "Adonijah"]	["Rehoboam", "Menelik I"]
what degrees did obama get in college?	["Juris Doctor", "Bachelor of Arts"]	["Juris Doctor", "Bachelor of Arts"]
what government does new zealand have?	["Parliamentary system", "Unitary state", "Constitutional monarchy"]	["Constitutional monarchy", "Parliamentary system", "Unitary state"]
what is the zip code for jonesboro ar?	["72404", "72401", "72402", "72403"]	["72404", "72402", "72401", "72403"]
what airport do you fly into in paris?	["Gare du Nord", "Paris Orly Airport", "Gare de Paris-Est", "Paris-Gare de Lyon", "Gare Saint-Lazare", "Gare Routi\u00e8re Internationale", "Charles de Gaulle Airport", "Aeroport de Paris Beauvais Tille", "Gare d'Austerlitz", "Gare Montparnasse"]	["Beauvais\u2013Till\u00e9 Airport", "Charles de Gaulle Airport", "Paris Orly Airport", "Orly Air Base"]
what team does josh hamilton play for?	["Texas Rangers", "Los Angeles Angels of Anaheim"]	["Cincinnati Reds", "Texas Rangers"]
what did coretta scott king died from?	["Respiratory failure"]	["Respiratory failure"]
what city was michael jackson born in?	["Gary"]	["Gary"]
what currency does australia use 2012?	["Australian dollar"]	["Australian dollar"]
where is the nra headquarters located?	["Fairfax"]	["Fairfax"]
what position did vince lombardi play?	["Right Guard"]	["Right Guard"]
what movies gerard butler has been in?	["Attila", "Beowulf & Grendel", "300", "Dear Frankie", "Butterfly on a Wheel", "Gamer", "Fast Food", "Dracula 2000", "Coriolanus"]	["The Phantom of the Opera", "Wrath of Gods", "Olympus Has Fallen", "The Cherry Orchard", "Attila", "Chasing Mavericks", "Law Abiding Citizen", "Nim's Island", "Timeline", "How to Train Your Dragon", "The Game of Their Lives", "Tales of the Black Freighter", "Butterfly on a Wheel", "Beowulf & Grendel", "Gift of the Night Fury", "Mrs. Brown", "Gamer", "The Ugly Truth", "Machine Gun Preacher", "Tomorrow Never Dies", "300", "Lara Croft Tomb Raider: The Cradle of Life", "PS, I Love You", "Coriolanus", "Shooters", "Playing for Keeps", "Movie 43", "Harrison's Flowers", "The Bounty Hunter", "RocknRolla", "Reign of Fire", "Thunder Run", "Dear Frankie", "One More Kiss", "Legend of the Boneknapper Dragon", "How to Train Your Dragon 2", "Fast Food", "Dracula 2000", "Jewel of the Sahara", "Dynamo"]
what country did adolf hitler control?	["Germany"]	["Austria-Hungary", "Nazi Germany", "Weimar Republic"]
what other countries border argentina?	["Brazil", "Paraguay", "Bolivia", "Chile"]	["Brazil", "Bolivia", "Chile", "Paraguay"]
what kind of monarchy does japan have?	["Constitutional monarchy"]	["Constitutional monarchy", "Parliamentary system", "Unitary state"]
where did rob kardashian go to school?	["University of Southern California", "Marshall School of Business"]	["University of Southern California", "Marshall School of Business"]
what type of art leonardo da vinci do?	["Sculpture", "Painting", "Drawing"]	["Sculpture", "Painting", "Drawing"]
what are john terry's children called?	["Georgie John Terry", "Summer Rose Terry"]	["Summer Rose Terry", "Georgie John Terry"]
what countries are in the euro dollar?	["Italy", "Portugal", "Finland", "Luxembourg", "France", "Slovenia", "Austria", "Germany", "Greece", "Spain"]	["Belgium", "Finland", "Germany", "Italy", "Luxembourg", "Netherlands", "Spain", "Slovakia", "France", "Austria", "Estonia", "Slovenia", "Zimbabwe", "Collectivity of Saint Martin", "Greece", "Ireland", "Malta", "Montenegro", "Portugal", "Cyprus", "Mayotte", "Guadeloupe", "Vatican City", "Kingdom of the Netherlands", "San Marino", "Martinique", "Saint Pierre and Miquelon", "\u00c5land Islands", "Monaco", "Andorra", "Saint Barth\u00e9lemy", "Caribbean Netherlands", "Republic of Kosovo"]
what kind of currency does mexico use?	["United States dollar"]	["Mexican peso"]
what document did james madison write?	["The Federalist Papers", "The Papers of James Madison: Presidential Series", "The Papers of James Madison: Congressional Series", "The Papers of James Madison: Secretary of State Series", "The Papers of James Madison", "The Papers of James Madison: Retirement Series"]	["Religious freedom", "The mind of the founder", "The Papers of James Madison, Vol. 4", "An address delivered before the Agricultural Society of Albemarle, on Tuesday, May 12, 1818", "Letters from the Secretary of State to Messrs. Monroe and Pinkney, on subjects committed to their joint negotiations", "Papers of James Madison Volume 10: May 27, 1787-March 3, 1788", "Federalist No. 10", "Federalist No. 39", "Federalist No. 42", "Federalist No. 14", "Federalist No. 18", "Federalist No. 19", "Federalist No. 20", "Federalist No. 51", "Federalist No. 63", "Federalist No. 37", "Federalist No. 38", "Federalist No. 40", "Federalist No. 41", "Federalist No. 43", "Federalist No. 44", "Federalist No. 45", "Federalist No. 47", "Federalist No. 48", "Federalist No. 46", "Federalist No. 49", "Federalist No. 50", "Federalist No. 52", "Federalist No. 53", "Federalist No. 54", "Federalist No. 56", "Federalist No. 55", "Federalist No. 57", "Federalist No. 58", "Federalist No. 62", "The forging of American federalism", "The Papers of James Madison Retirement Series, Volume 1: 4 March 1817-31 January 1820", "James Madison", "James Madison: Writings", "Letters from the Secretary of State to Mr. Monroe, on the subject of impressments, &c", "Extract of a letter from the Secretary of State to Mr. Monroe, relative to impressments", "Federalist Papers", "The Federalist Papers", "All impressments unlawful and inadmissible", "The James Madison Papers, 1723 - 1836", "President Madison's inaugural speech", "Jonathan Bull and Mary Bull", "Selections from the private correspondence of James Madison, from 1813 to 1836", "An examination of the British doctrine, which subjects to capture a neutral trade, not open in time of peace", "The reply of Mr. Madison, in answer to Mr. Rose, in discussing the affair of the Chesapeake", "Letters and other writings of James Madison", "Mr. Madison's motion for commercial restrictions", "The complete Madison", "Equal religious liberty stated and defended", "James Madison, 1751-1836", "Calendar of the correspondence of James Madison", "The Papers of James Madison Congressional Series, Vol. 12: 2 October 1789 - 20 January 1790", "A vocabulary of New Jersey Delaware", "Madison's famous original letter against nullification, 1832 ..", "An examination of the British doctrine"]
what country does david luiz play for?	["Brazil"]	["Brazil"]
when was president john adams elected?	["John Adams Presidential Campaign, 1796", "John Adams Presidential Campaign, 1800"]	["John Adams 1797 presidential inauguration"]
what did nicholas copernicus discover?	["He discovered that other ancient Greeks had suggested the idea of a heliocentric universe, and this seemed better seemed even though it still needed complex mathematical calculations to predict planetary movement."]	["De revolutionibus orbium coelestium", "Heliocentrism"]
what currency should i take to turkey?	["Turkish lira"]	["Turkish lira"]
